C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 5.8,26.08.2025 22:58:37,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 5.9,26.08.2025 22:58:47,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 5.10,26.08.2025 22:58:58,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 6.1,26.08.2025 22:59:08,pokla,DWG To PDF.pc3,ISO без полей A4 (210.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 6.2,26.08.2025 22:59:18,pokla,DWG To PDF.pc3,ISO без полей A4 (210.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 6.3,26.08.2025 22:59:28,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 6.4,26.08.2025 22:59:38,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 6.5,26.08.2025 22:59:48,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 6.6,26.08.2025 22:59:58,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 6.7,26.08.2025 23:00:08,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 6.8,26.08.2025 23:00:18,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 6.9,26.08.2025 23:00:28,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 6.10,26.08.2025 23:00:38,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 6.11,26.08.2025 23:00:48,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 6.12,26.08.2025 23:00:58,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 6.13,26.08.2025 23:01:08,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 6.14,26.08.2025 23:01:18,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
